country,country_slug,operator,price_mb_usd,price_gb_usd,policy,policy_reason,margin_10gb_100pct,margin_10gb_50pct,margin_3gb_100pct,breakage_score,region_hint
Gibraltar,gibraltar,Gibtelecom Gibraltar,0.0028755,2.9445,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-1.06,13.67,9.56,0,standard
Greece,greece,Vodafone Greece,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Greenland,greenland,Tele Greenland A/S,0.020466,20.9572,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-181.18,-76.4,-44.48,0,global
Grenada,grenada,Cable & Wireless Grenada,0.006534,6.6908,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-38.52,-5.06,-1.68,5,caribbean
Guadeloupe,guadeloupe,Dauphin,0.0043605,4.4652,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-16.26,6.06,4.99,5,caribbean
Guam,guam,Docomo,0.0123795,12.6766,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-98.38,-34.99,-19.64,0,global
Guatemala,guatemala,TIGO/COMCEL,0.0059535,6.0964,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-32.57,-2.09,0.1,5,south-america
Guyana,guyana,U Mobile Cellular Inc,0.019305,19.7683,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-169.29,-70.45,-40.91,0,global
Honduras,honduras,Tigo Honduras,0.006885,7.0502,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-42.11,-6.86,-2.76,5,south-america
Hong Kong,hong-kong,H3G Hong Kong,0.0010395,1.0644,weconnect_breakage,10GB full-usage margin $17.75 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,17.75,23.07,15.2,76,europe-tier
Hungary,hungary,One Hungary,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Iceland,iceland,Fjarskipti (VF) Iceland,0.001134,1.1612,weconnect_breakage,10GB full-usage margin $16.78 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,16.78,22.58,14.91,75,europe-tier
India,india,Idea Cellular-EU India,0.0017145,1.7556,weconnect_breakage,10GB full-usage margin $10.83 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,10.83,19.61,13.12,65,standard
Indonesia,indonesia,Telkomsel indonesia,0.001296,1.3271,weconnect_breakage,10GB full-usage margin $15.12 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,15.12,21.75,14.41,72,europe-tier
Iran,iran,MCI Iran,0.007722,7.9073,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-50.68,-11.15,-5.33,0,global
Iraq,iraq,Korek Telecom Company,0.00297,3.0413,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-2.02,13.18,9.27,0,global
Ireland,ireland,Meteor Mobile Ireland,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Israel,israel,Hot Mobile Israel,0.000918,0.94,weconnect_breakage,10GB full-usage margin $18.99 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,18.99,23.69,15.57,78,europe-tier
Italy,italy,Vodafone Italy,0.0006885,0.705,weconnect_breakage,10GB full-usage margin $21.34 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.34,24.86,16.27,82,europe-tier
Ivory Coast,ivory-coast,MTN Ivory Coast,0.0974025,99.7402,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-969.01,-470.31,-280.83,0,global
Jamaica,jamaica,Cable & Wireless Jamaica,0.0060885,6.2346,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-33.96,-2.78,-0.31,5,caribbean
Japan,japan,NTT Docomo Japan,0.0026595,2.7233,weconnect_breakage,10GB gate tight but 3GB full-usage margin $10.22; breakage on smaller plans only.,1.16,14.77,10.22,49,standard
Jordan,jordan,ZAIN Jordan,0.0059265,6.0687,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-32.3,-1.95,0.18,0,global
Kazakhstan,kazakhstan,Kar-Tel (Beeline) Kazakhstan,0.0008505,0.8709,weconnect_breakage,10GB full-usage margin $19.68 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,19.68,24.04,15.78,80,europe-tier
Kenya,kenya,Airtel Kenya,0.0047385,4.8522,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-20.13,4.13,3.83,0,global
Kuwait,kuwait,STC Kuwait,0.0017685,1.8109,weconnect_breakage,10GB full-usage margin $10.28 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,10.28,19.34,12.96,64,standard
Kyrgyzstan,kyrgyzstan,Sky Mobile Kyrgyzstan (Beeline),0.000837,0.8571,weconnect_breakage,10GB full-usage margin $19.82 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,19.82,24.1,15.82,80,europe-tier
Laos,laos,ETL Mobile,0.0028485,2.9169,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-0.78,13.81,9.64,0,standard
Latvia,latvia,Tele2 Latvia,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Lesotho,lesotho,Vodacom Lesotho,0.0219375,22.464,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-196.25,-83.93,-49.0,0,global
Liberia,liberia,Lonestar Communications Corporation,0.09828,100.6387,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-978.0,-474.8,-283.53,0,global
Liechtenstein,liechtenstein,Telecom Liechtenstein AG,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Lithuania,lithuania,Tele2 Lithuania,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Luxembourg,luxembourg,Tango Luxembourg,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Macao China,macao-china,Hutchison Telephone Macau Company Limited,0.001053,1.0783,weconnect_breakage,10GB full-usage margin $17.61 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,17.61,23.0,15.16,76,europe-tier
Macedonia,macedonia,T-Mobile Macedonia,0.001188,1.2165,weconnect_breakage,10GB full-usage margin $16.22 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,16.22,22.31,14.74,74,europe-tier
Madagascar,madagascar,Airtel Madagascar,0.0050085,5.1287,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-22.9,2.75,3.0,0,global
Malawi,malawi,Airtel Malawi Limited,0.005481,5.6125,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-27.74,0.33,1.55,0,global
Malaysia,malaysia,Digi Malaysia,0.001161,1.1889,weconnect_breakage,10GB full-usage margin $16.50 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,16.5,22.45,14.82,74,europe-tier
Maldives,maldives,Dhiraagu Maldives,0.008451,8.6538,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-58.15,-14.88,-7.57,0,global
Malta,malta,Melita Malta,0.0006885,0.705,weconnect_breakage,10GB full-usage margin $21.34 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.34,24.86,16.27,82,europe-tier
Mauritania,mauritania,Mattel,0.0088425,9.0547,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-62.16,-16.88,-8.77,0,global
Mauritius,mauritius,Chili Mauritius,0.0049275,5.0458,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-22.07,3.16,3.25,0,global
Mexico,mexico,Movistar Mexico,0.0030375,3.1104,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-2.71,12.84,9.06,5,south-america
Moldova,moldova,Orange Moldova,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Monaco,monaco,Monaco Telecom,0.0184275,18.8698,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-160.31,-65.96,-38.22,0,global
Mongolia,mongolia,MobiCom Corporation,0.0057915,5.9305,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-30.91,-1.26,0.6,0,global
Montenegro,montenegro,MTEL Montenegro,0.000891,0.9124,weconnect_breakage,10GB full-usage margin $19.27 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,19.27,23.83,15.65,79,europe-tier
Montserrat,montserrat,Cable & Wireless Montserrat,0.0061425,6.2899,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-34.51,-3.06,-0.48,5,caribbean
Morocco,morocco,Inwi Morocco,0.0021195,2.1704,weconnect_breakage,10GB gate tight but 3GB full-usage margin $11.88; breakage on smaller plans only.,6.69,17.54,11.88,58,standard
Mozambique,mozambique,VM Mozambique,0.020007,20.4872,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-176.48,-74.05,-43.07,0,global
Nepal,nepal,Ncell Nepal,0.0049275,5.0458,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-22.07,3.16,3.25,0,global
Netherlands,netherlands,KPN Netherlands,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Netherlands Antilles,netherlands-antilles,Setel Netherlands Antilles,0.0060345,6.1793,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-33.4,-2.51,-0.15,0,global
New Zealand,new-zealand,Vodafone New Zealand,0.0010935,1.1197,weconnect_breakage,10GB full-usage margin $17.19 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,17.19,22.79,15.03,75,europe-tier
Nicaragua,nicaragua,Claro Nicaragua (EN),0.0076005,7.7829,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-49.44,-10.52,-4.96,5,south-america
Niger,niger,Zain/CelTel Niger,0.0052515,5.3775,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-25.39,1.5,2.26,0,global
Nigeria,nigeria,Glo Nigeria,0.0039285,4.0228,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-11.84,8.28,6.32,0,global
Norway,norway,ICE Norway,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Oman,oman,Vodafone Oman,0.0017955,1.8386,weconnect_breakage,10GB full-usage margin $10.00 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,10.0,19.2,12.87,64,standard
Pakistan,pakistan,Jazz Mobile Pakistan,0.0009045,0.9262,weconnect_breakage,10GB full-usage margin $19.13 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,19.13,23.76,15.61,79,europe-tier
Palestinian Territory,palestinian-territory,Jawwal,0.010098,10.3404,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-75.01,-23.31,-12.63,0,global
Panama,panama,Cable & Wireless Panama,0.0056835,5.8199,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-29.81,-0.71,0.93,5,south-america
Papua New Guinea,papua-new-guinea,Digitec Papua New Guinea,0.007074,7.2438,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-44.05,-7.83,-3.34,0,global
Paraguay,paraguay,N cleo S A,0.0049275,5.0458,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-22.07,3.16,3.25,5,south-america
Peru,peru,Movistar Peru,0.0031185,3.1933,telna_fixed,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-3.54,12.42,8.81,5,south-america
Philippines,philippines,Globe Philippines,0.001647,1.6865,weconnect_breakage,10GB full-usage margin $11.52 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,11.52,19.96,13.33,66,standard
Poland,poland,Plus Poland,0.0006885,0.705,weconnect_breakage,10GB full-usage margin $21.34 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.34,24.86,16.27,82,europe-tier
Portugal,portugal,Vodafone Portugal,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Puerto Rico,puerto-rico,Liberty,0.0057375,5.8752,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-30.36,-0.99,0.76,5,caribbean
Qatar,qatar,Ooredoo Qatar,0.001755,1.7971,weconnect_breakage,10GB full-usage margin $10.42 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,10.42,19.4,13.0,64,standard
Reunion,reunion,Orange,0.000918,0.94,weconnect_breakage,10GB full-usage margin $18.99 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,18.99,23.69,15.57,78,europe-tier
Romania,romania,DIGI Romania,0.000675,0.6912,weconnect_breakage,10GB full-usage margin $21.48 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,21.48,24.93,16.32,83,europe-tier
Russian Federation,russian-federation,Tele2 Russia,0.0009855,1.0092,weconnect_breakage,10GB full-usage margin $18.30 (≥25% target). Eligible for virtual bundle on WeConnect PAYG.,18.3,23.34,15.36,77,europe-tier
Rwanda,rwanda,Tigo Rwanda,0.0051975,5.3222,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-24.83,1.78,2.42,0,global
Saint Kitts and Nevis,saint-kitts-and-nevis,Cable & Wireless Saint Kitts and Nevis,0.006534,6.6908,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-38.52,-5.06,-1.68,5,caribbean
Saint Lucia,saint-lucia,Cable & Wireless Saint Lucia,0.006534,6.6908,telna_fixed,Caribbean per-MB wholesale too high; Telna regional bundles required.,-38.52,-5.06,-1.68,5,caribbean
Saint Vincent and Grenadines,saint-vincent-and-grenadines,C & W Saint Vincent and Grenadines,0.006534,6.6908,catalog_cascade,100% usage on 10GB plan loses money on WeConnect per-MB; route to fixed bundle provider.,-38.52,-5.06,-1.68,0,global
